Numer elementu / Lokalny numer wezla / Globalny numer wezla / (x,y)
(1, 1, 1, (-50.0, -50.0))
(1, 2, 2, (-47.5, -50.0))
(1, 3, 42, (-50.0, -47.5))
(1, 4, 43, (-47.5, -47.5))
(2, 1, 2, (-47.5, -50.0))
(2, 2, 3, (-45.0, -50.0))
(2, 3, 43, (-47.5, -47.5))
(2, 4, 44, (-45.0, -47.5))
(3, 1, 3, (-45.0, -50.0))
(3, 2, 4, (-42.5, -50.0))
(3, 3, 44, (-45.0, -47.5))
(3, 4, 45, (-42.5, -47.5))
(4, 1, 4, (-42.5, -50.0))
(4, 2, 5, (-40.0, -50.0))
(4, 3, 45, (-42.5, -47.5))
(4, 4, 46, (-40.0, -47.5))
(5, 1, 5, (-40.0, -50.0))
(5, 2, 6, (-37.5, -50.0))
(5, 3, 46, (-40.0, -47.5))
(5, 4, 47, (-37.5, -47.5))
(6, 1, 6, (-37.5, -50.0))
(6, 2, 7, (-35.0, -50.0))
(6, 3, 47, (-37.5, -47.5))
(6, 4, 48, (-35.0, -47.5))
(7, 1, 7, (-35.0, -50.0))
(7, 2, 8, (-32.5, -50.0))
(7, 3, 48, (-35.0, -47.5))
(7, 4, 49, (-32.5, -47.5))
(8, 1, 8, (-32.5, -50.0))
(8, 2, 9, (-30.0, -50.0))
(8, 3, 49, (-32.5, -47.5))
(8, 4, 50, (-30.0, -47.5))
(9, 1, 9, (-30.0, -50.0))
(9, 2, 10, (-27.5, -50.0))
(9, 3, 50, (-30.0, -47.5))
(9, 4, 51, (-27.5, -47.5))
(10, 1, 10, (-27.5, -50.0))
(10, 2, 11, (-25.0, -50.0))
(10, 3, 51, (-27.5, -47.5))
(10, 4, 52, (-25.0, -47.5))
(11, 1, 11, (-25.0, -50.0))
(11, 2, 12, (-22.5, -50.0))
(11, 3, 52, (-25.0, -47.5))
(11, 4, 53, (-22.5, -47.5))
(12, 1, 12, (-22.5, -50.0))
(12, 2, 13, (-20.0, -50.0))
(12, 3, 53, (-22.5, -47.5))
(12, 4, 54, (-20.0, -47.5))
(13, 1, 13, (-20.0, -50.0))
(13, 2, 14, (-17.5, -50.0))
(13, 3, 54, (-20.0, -47.5))
(13, 4, 55, (-17.5, -47.5))
(14, 1, 14, (-17.5, -50.0))
(14, 2, 15, (-15.0, -50.0))
(14, 3, 55, (-17.5, -47.5))
(14, 4, 56, (-15.0, -47.5))
(15, 1, 15, (-15.0, -50.0))
(15, 2, 16, (-12.5, -50.0))
(15, 3, 56, (-15.0, -47.5))
(15, 4, 57, (-12.5, -47.5))
(16, 1, 16, (-12.5, -50.0))
(16, 2, 17, (-10.0, -50.0))
(16, 3, 57, (-12.5, -47.5))
(16, 4, 58, (-10.0, -47.5))
(17, 1, 17, (-10.0, -50.0))
(17, 2, 18, (-7.5, -50.0))
(17, 3, 58, (-10.0, -47.5))
(17, 4, 59, (-7.5, -47.5))
(18, 1, 18, (-7.5, -50.0))
(18, 2, 19, (-5.0, -50.0))
(18, 3, 59, (-7.5, -47.5))
(18, 4, 60, (-5.0, -47.5))
(19, 1, 19, (-5.0, -50.0))
(19, 2, 20, (-2.5, -50.0))
(19, 3, 60, (-5.0, -47.5))
(19, 4, 61, (-2.5, -47.5))
(20, 1, 20, (-2.5, -50.0))
(20, 2, 21, (0.0, -50.0))
(20, 3, 61, (-2.5, -47.5))
(20, 4, 62, (0.0, -47.5))
(21, 1, 21, (0.0, -50.0))
(21, 2, 22, (2.5, -50.0))
(21, 3, 62, (0.0, -47.5))
(21, 4, 63, (2.5, -47.5))
(22, 1, 22, (2.5, -50.0))
(22, 2, 23, (5.0, -50.0))
(22, 3, 63, (2.5, -47.5))
(22, 4, 64, (5.0, -47.5))
(23, 1, 23, (5.0, -50.0))
(23, 2, 24, (7.5, -50.0))
(23, 3, 64, (5.0, -47.5))
(23, 4, 65, (7.5, -47.5))
(24, 1, 24, (7.5, -50.0))
(24, 2, 25, (10.0, -50.0))
(24, 3, 65, (7.5, -47.5))
(24, 4, 66, (10.0, -47.5))
(25, 1, 25, (10.0, -50.0))
(25, 2, 26, (12.5, -50.0))
(25, 3, 66, (10.0, -47.5))
(25, 4, 67, (12.5, -47.5))
(26, 1, 26, (12.5, -50.0))
